ID,slide_num,section_num,CT area (mm^2),LCA area,LTA area,MTA area
54-2-2,1,1,0,0,0,0
54-2-2,1,2,0,0,0,0
54-2-2,1,3,0,0,0,0
54-2-2,1,4,0,0,0,0
54-2-2,1,5,0,0,0,0
54-2-2,1,6,0,0,0,0
54-2-2,1,7,0,0,0.023,0
54-2-2,1,8,0,0,0.059,0
54-2-2,1,9,0,0,0.087,0
54-2-2,1,10,0,0,0.192,0
54-2-2,2,1,0.133,0,0.181,0.076
54-2-2,2,2,0,0,0,0
54-2-2,2,3,0.324,0,0.281,0.166
54-2-2,2,4,0.465,0,0.284,0.205
54-2-2,2,5,0.618,0,0.32,0.197
54-2-2,2,6,0.783,0,0.344,0.219
54-2-2,2,7,0.831,0,0.351,0.225
54-2-2,2,8,0.986,0,0.331,0.208
54-2-2,2,9,0.96,0,0.371,0.21
54-2-2,2,10,0.692,0,0.25,0.106
54-2-2,3,1,1.3,0.012,0.412,0.195
54-2-2,3,2,1.264,0.034,0.396,0.184
54-2-2,3,3,1.366,0.057,0.417,0.166
54-2-2,3,4,1.067,0.062,0.429,0.133
54-2-2,3,5,1.072,0.077,0.474,0.082
54-2-2,3,6,1.396,0.093,0.428,0.044
54-2-2,3,7,1.045,0.075,0.468,0.084
54-2-2,3,8,1.159,0.095,0.394,0.052
54-2-2,3,9,1.219,0.122,0.433,0.057
54-2-2,3,10,1.274,0.151,0.405,0.039
54-2-2,4,1,1.192,0.154,0.404,0.035
54-2-2,4,2,1.368,0.163,0.381,0.022
54-2-2,4,3,1.38,0.179,0.434,0.008
54-2-2,4,4,1.38,0.191,0.392,0
54-2-2,4,5,1.403,0.206,0.366,0
54-2-2,4,6,1.463,0.182,0.408,0
54-2-2,4,7,1.228,0.176,0.342,0
54-2-2,4,8,1.221,0.167,0.198,0
54-2-2,4,9,1.205,0.168,0.267,0
54-2-2,4,10,1.123,0.186,0.24,0
54-2-2,5,1,1.208,0.174,0.192,0
54-2-2,5,2,1.177,0.185,0.151,0
54-2-2,5,3,1.094,0.161,0.116,0
54-2-2,5,4,0.951,0.149,0.052,0
54-2-2,5,5,0.836,0.135,0.063,0
54-2-2,5,6,0.77,0.088,0.057,0
54-2-2,5,7,0.691,0.07,0.046,0
54-2-2,5,8,0.672,0.039,0.023,0
54-2-2,5,9,0.661,0.005,0.015,0
54-2-2,5,10,0.608,0,0,0
54-2-2,6,1,0.582,0,0,0
54-2-2,6,2,0.523,0,0,0
54-2-2,6,3,0.399,0,0,0
54-2-2,6,4,0.258,0,0,0
54-2-2,6,5,0.139,0,0,0
54-2-2,6,6,0.076,0,0,0
54-2-2,6,7,0.013,0,0,0
54-2-2,6,8,0,0,0,0
49-12-1,1,1,0,0,0,0
49-12-1,1,2,0,0,0,0
49-12-1,1,3,0,0,0,0
49-12-1,1,4,0,0,0,0
49-12-1,1,5,0,0,0,0
49-12-1,1,6,0,0,0,0
49-12-1,1,7,0,0,0.015,0
49-12-1,1,8,0.085,0,0.07,0
49-12-1,1,9,0.226,0,0.138,0
49-12-1,1,10,0.062,0,0.197,0
49-12-1,2,1,0.273,0,0.26,0.017
49-12-1,2,2,0.324,0.011,0.319,0.08
49-12-1,2,3,0.342,0.017,0.325,0.117
49-12-1,2,4,0.405,0.032,0.334,0.171
49-12-1,2,5,0.461,0.041,0.306,0.174
49-12-1,2,6,0.903,0.085,0.385,0.166
49-12-1,2,7,0.658,0.062,0.335,0.242
49-12-1,2,8,0.549,0.06,0.26,0.178
49-12-1,2,9,0.388,0.069,0.26,0.206
49-12-1,2,10,0.62,0.069,0.254,0.197
49-12-1,3,1,0.75,0.08,0.289,0.305
49-12-1,3,2,0.895,0.119,0.294,0.253
49-12-1,3,3,0.93,0.127,0.271,0.242
49-12-1,3,4,0.965,0.115,0.258,0.218
49-12-1,3,5,1.023,0.133,0.243,0.192
49-12-1,3,6,1.04,0.137,0.235,0.169
49-12-1,3,7,1.014,0.106,0.17,0.15
49-12-1,3,8,1.083,0.125,0.188,0.146
49-12-1,3,9,1.013,0.122,0.186,0.11
49-12-1,3,10,0.973,0.104,0.13,0.114
49-12-1,4,1,1.042,0.124,0.254,0.122
49-12-1,4,2,1.198,0.151,0.278,0.136
49-12-1,4,3,1.132,0.156,0.302,0.102
49-12-1,4,4,1.142,0.16,0.28,0
49-12-1,4,5,1.031,0.142,0.318,0
49-12-1,4,6,0.956,0.141,0.343,0
49-12-1,4,7,0.895,0.151,0.307,0
49-12-1,4,8,0.803,0.148,0.338,0
49-12-1,4,9,0.775,0.146,0.341,0
49-12-1,4,10,0.69,0.15,0.339,0
49-12-1,5,1,0.514,0.14,0.308,0
49-12-1,5,2,0.604,0.172,0.346,0
49-12-1,5,3,0.506,0.147,0.328,0
49-12-1,5,4,0.446,0.14,0.242,0
49-12-1,5,5,0.395,0.112,0.318,0
49-12-1,5,6,0.202,0.058,0.285,0
49-12-1,5,7,0.204,0.047,0.288,0
49-12-1,5,8,0.094,0,0.191,0
55-4-3,1,1,0,0,0,0
55-4-3,1,2,0,0,0,0
55-4-3,1,3,0,0,0,0
55-4-3,1,4,0,0,0,0
55-4-3,1,5,0.006,0,0,0
55-4-3,1,6,0.008,0,0,0
55-4-3,1,7,0.036,0,0,0
55-4-3,1,8,0.045,0,0,0
55-4-3,1,9,0.058,0,0,0
55-4-3,1,10,0.067,0,0,0
55-4-3,2,1,0.084,0,0,0
55-4-3,2,2,0.067,0,0,0
55-4-3,2,3,0.081,0,0,0
55-4-3,2,4,0.122,0,0,0
55-4-3,2,5,0.152,0,0,0
55-4-3,2,6,0.181,0,0,0
55-4-3,2,7,0.201,0,0,0
55-4-3,2,8,0.228,0,0,0
55-4-3,2,9,0.251,0,0,0
55-4-3,2,10,0.289,0,0,0
55-4-3,3,1,0.286,0,0,0
55-4-3,3,2,0.305,0.011,0,0
55-4-3,3,3,0.305,0.013,0,0
55-4-3,3,4,0.285,0.005,0.006,0
55-4-3,3,5,0.362,0.005,0.031,0
55-4-3,3,6,0.339,0.013,0.031,0
55-4-3,3,7,0.379,0.008,0.047,0
55-4-3,3,8,0.322,0.008,0.09,0
55-4-3,3,9,0.381,0.009,0.138,0
55-4-3,3,10,0.354,0.011,0.156,0
55-4-3,4,1,0.449,0.013,0.154,0.049
55-4-3,4,2,0.413,0.018,0.144,0.062
55-4-3,4,3,0.434,0.02,0.178,0.094
55-4-3,4,4,0.41,0.02,0.168,0.118
55-4-3,4,5,0.397,0.027,0.152,0.126
55-4-3,4,6,0.421,0.026,0.158,0.15
55-4-3,4,7,0.471,0.032,0.166,0.175
55-4-3,4,8,0.502,0.032,0.167,0.219
55-4-3,4,9,0.473,0.032,0.186,0.216
55-4-3,4,10,0.442,0.034,0.187,0.224
55-4-3,5,1,0.405,0.044,0.171,0.203
55-4-3,5,2,0.397,0.054,0.171,0.19
55-4-3,5,3,0.406,0.033,0.201,0.187
55-4-3,5,4,0.342,0.037,0.198,0.17
55-4-3,5,5,0.332,0.042,0.235,0.159
55-4-3,5,6,0.281,0.044,0.184,0.093
55-4-3,5,7,0.203,0.038,0.169,0.075
55-4-3,5,8,0.196,0.041,0.179,0.066
55-4-3,5,9,0.196,0.04,0.163,0.062
55-4-3,5,10,0.174,0.025,0.155,0.073
55-4-3,6,1,0.142,0.012,0.128,0.058
55-4-3,6,2,0.119,0.011,0.134,0.046
55-4-3,6,3,0.049,0.01,0.142,0.023
55-4-3,6,4,0.032,0.008,0.142,0
55-4-3,6,5,0.026,0.004,0.122,0
55-4-3,6,6,0.03,0.003,0.114,0
55-4-3,6,7,0.019,0.006,0.098,0
55-4-3,6,8,0.029,0.014,0.06,0
55-4-3,7,1,0.034,0.007,0.044,0
55-4-3,7,2,0.036,0.008,0.051,0
55-4-3,7,3,0.032,0,0.047,0
55-4-3,7,4,0.052,0,0.048,0
55-4-3,7,5,0.044,0,0.04,0
55-4-3,7,6,0.019,0,0.023,0
55-4-3,7,7,0.016,0,0,0
55-4-3,7,8,0.01,0,0,0
55-4-3,7,9,0,0,0,0
55-4-3,7,10,0,0,0,0
55-5-2,1,1,0,0,0,0
55-5-2,1,2,0,0,0,0
55-5-2,1,3,0,0,0,0
55-5-2,1,4,0,0,0,0
55-5-2,1,5,0,0,0,0
55-5-2,1,6,0,0,0,0
55-5-2,1,7,0,0,0,0
55-5-2,1,8,0,0,0,0
55-5-2,1,9,0,0,0,0
55-5-2,1,10,0,0,0,0
55-5-2,2,1,0,0,0,0
55-5-2,2,2,0,0,0,0
55-5-2,2,3,0,0,0,0
55-5-2,2,4,0.01,0,0,0
55-5-2,2,5,0.018,0,0,0
