note.starts,note.ends,note.durs,INI,pk.amps,pk.times,qpk.amps,qpk.times,note.rmss,rel.pk.amps,rel.qpk.amps,rel.note.rmss,rel.pk.tm,rel.qpk.tm,rel.INI,max.Hz,min.Hz,FMa,FMb,FMc,FM.resid,note.DF,arcL,chordL
998.43072,1007.57504,9.14431999999999,34.5907200000001,0.0668388232588768,0.00355328,0.0493746697902679,0.00095232,0.0217219308745234,0.0305061674251613,0.0225352851792454,0.0436653732291299,0.000388577827547593,0.00010414333706607,3.78275475923854,38528.4423828125,16403.1982421875,-639699933.236399,1995691.23131888,37883.5768926711,5310.1752839226,38528.4423828125,38354.5750673058,35241.5660884065
1042.16576,1052.4672,10.30144,36.5670399999999,0.0717412233352661,0.00217088,0.0717412233352661,0.00217088,0.0272110269333387,0.0327436909215911,0.0327436909215911,0.0546995409319574,0.000210735586481114,0.000210735586481114,3.54970178926442,37765.5029296875,15258.7890625,-539251183.389362,2480755.07226445,36398.5697428385,5193.43543435282,37765.5029296875,37376.0023214548,31669.8059794462
1089.03424,1100.73856,11.7043200000001,29.6550400000001,0.0552663542330265,0.00310272,0.055117916315794,0.00041984,0.0204141895286467,0.0252243318031047,0.0251565826756582,0.0410365547191768,0.000265091863517059,3.58705161854767e-05,2.5336832895888,22125.244140625,14495.849609375,45898830.6717326,-1291340.73708351,22615.3749408144,494.027853776145,19836.42578125,8826.53360764029,8826.53360763834
1130.3936,1144.05376,13.6601599999999,35.0310400000001,0.0795829072594643,0.00663552,0.0412933267652988,0.00198656,0.0243503230806613,0.0363227443971475,0.0188468479608788,0.0489489609238203,0.000485757121439284,0.000145427286356823,2.56446776611697,40435.791015625,16403.1982421875,424420923.166726,-6139754.927728,41108.0313729239,5829.96343974628,21362.3046875,39736.3397923775,4673.1026231197
1179.0848,1190.38976,11.3049599999999,30.96576,0.0967213362455368,0.00101376,0.0967213362455368,0.00101376,0.0253412909407983,0.0441449614644405,0.0441449614644405,0.0509410021341947,8.96739130434788e-05,8.96739130434788e-05,2.73913043478263,27084.3505859375,14495.849609375,272268979.84855,-2976213.13837312,24032.5927734375,3522.97114645667,21362.3046875,17417.3020326995,1150.58251795172
1221.35552,1237.58592,16.2303999999999,30.34112,0.0663421303033829,0.00518144,0.0580477453768253,0.00016384,0.0234483473293273,0.0302794698604763,0.0264937973587586,0.047135811436644,0.000319242902208204,1.00946372239748e-05,1.86940063091484,38528.4423828125,15640.2587890625,277500300.460754,-4930787.81933813,38708.6973085508,4152.71952589843,21171.5698242188,36878.6635242731,6927.89661946531
1267.92704,1283.0208,15.09376,34.3756800000001,0.0678330063819885,0.00492544,0.0648670345544815,0.00034816,0.0255273570429502,0.030959926413219,0.0296062156694227,0.0513150317654777,0.000326322930800543,2.3066485753053e-05,2.27747625508821,37765.5029296875,14114.3798828125,282047667.494682,-5130967.51233974,39000.0395722441,4271.64178304077,21362.3046875,33481.9546817647,13189.043870184
1317.39648,1329.3568,11.9603199999999,37.0688,0.0771144330501556,0.00380928,0.0746374949812889,0.00234496,0.0270610260627531,0.0351960984772725,0.0340655895343196,0.0543980095424758,0.000318493150684934,0.000196061643835618,3.09931506849317,28610.2294921875,14114.3798828125,127843863.441685,-1767396.24955438,23429.1770241477,4966.38016559004,21362.3046875,9366.16162397352,2850.65535345575
1366.4256,1377.62816,11.2025599999999,37.31456,0.088166669011116,0.00037888,0.088166669011116,0.00037888,0.0318730817843334,0.040240492501709,0.040240492501709,0.0640711923868525,3.382084095064e-05,3.382084095064e-05,3.33089579524682,30899.0478515625,14495.849609375,41573286.4199465,-256453.882660959,20409.7863399621,7528.58122257422,21362.3046875,3135.3936278896,2344.39729179362
1414.94272,1426.91328,11.97056,35.6249600000001,0.0799406692385674,0.00157696,0.0799406692385674,0.00157696,0.0319937524089701,0.0364860319342516,0.0364860319342516,0.0643137641864311,0.000131736526946108,0.000131736526946108,2.97604790419163,29754.638671875,14495.849609375,105134756.119807,-804544.525277438,20998.1744939631,6628.40449819373,21171.5698242188,8512.76650198645,5434.3634771992
